SAMPLE_ID,CISO,GICS_SECTOR,SIZEINDEX,MERGE_ID,GVKEY,VALUE_YEAR,PE_error,PB_error,EVSALES_error,EVEBIT_error
GLOBAL,GBR,25,OECD,2000100911,100911,2000,0.38586430031268565,0.37924992859340945,0.37188261818414425,0.3907046314362135
GLOBAL,GBR,20,OECD,2000205999,205999,2000,0.6036220303900185,0.8067846295323524,0.5391362555442598,0.5064834160130802
GLOBAL,FRA,25,OECD,2000100001,100001,2000,0.22207260728242328,0.20435220864410025,0.26448426869911473,0.26415874068270073
GLOBAL,ESP,15,OECD,2000101529,101529,2000,0.24188878076137083,0.24093889210579686,0.42240330838398116,0.42096769915215343
GLOBAL,ESP,20,OECD,2000222186,222186,2000,0.1974728777149825,0.09827353985444016,0.4532350125801907,0.19885591590138452
GLOBAL,DEU,25,OECD,2000221244,221244,2000,0.06258759753336064,0.3626263908972662,0.13084626206622954,0.10766028879518758
GLOBAL,DEU,45,OECD,2000228576,228576,2000,0.6071240061266915,0.92518070069137,0.977571999410666,0.8503247791418259
GLOBAL,GBR,25,OECD,2000014222,014222,2000,0.7462521052525766,0.8416446953083223,0.3803840623411884,0.6923562343782024
GLOBAL,SWE,20,OECD,2000103051,103051,2000,0.6315524713372132,0.6606288640118063,0.37343565121861866,0.6006420377453972
GLOBAL,GBR,15,OECD,2000220814,220814,2000,0.005619794527208846,0.15539686648335357,0.2586229214634033,0.16529460429973106
GLOBAL,GBR,20,OECD,2000207519,207519,2000,0.46569843583214454,0.5819276824429385,0.5737656916805085,0.36177682579855663
GLOBAL,FIN,25,OECD,2000211419,211419,2000,0.3352516072746587,0.2945536208500425,0.46308781179913394,0.46490433871244685
GLOBAL,DEU,15,OECD,2000100004,100004,2000,0.27423673387111586,0.4063065588148463,0.794227667901569,0.5734296110763683
GLOBAL,GRC,15,OECD,2000243064,243064,2000,0.4936682232869045,0.54604880866031,0.5820823337643615,0.4219822578460242
GLOBAL,NLD,20,OECD,2000102168,102168,2000,0.3578016349289009,0.11439821484481612,0.7403197272765129,0.4727267045055801
GLOBAL,FIN,25,OECD,2000101737,101737,2000,0.42125212592122613,0.4324040186732144,0.09949345607361981,0.08722587437456897
GLOBAL,GBR,35,OECD,2000100423,100423,2000,0.6690173516086992,0.4143174123705431,0.8691440418001671,0.7806214778943769
GLOBAL,GBR,20,OECD,2000210809,210809,2000,0.7992721738991296,0.7774067642644935,0.5441299383130933,0.7535996735717072
GLOBAL,GBR,15,OECD,2000200189,200189,2000,0.7649650682623117,0.23615427988895352,0.9430552858411864,0.9203753320795907
GLOBAL,DEU,20,OECD,2000212536,212536,2000,0.23983426388064763,0.29685777104442723,0.3764234482892082,0.06995214184263943
GLOBAL,GBR,45,OECD,2000109179,109179,2000,0.6421015360553015,0.8038224828641367,0.9128197090651327,0.7491879221095574
GLOBAL,ITA,25,OECD,2000102835,102835,2000,0.6913118310257433,0.6808612622367867,0.7545023079772228,0.7251487242331222
GLOBAL,ITA,25,OECD,2000202029,202029,2000,0.5197139893088787,0.032808385008292335,0.20274678757962944,0.11954637165701379
GLOBAL,NLD,45,OECD,2000001166,001166,2000,0.7950815952688879,0.7986224299185094,0.5418778519341075,0.5527966618578032
GLOBAL,SWE,20,OECD,2000223492,223492,2000,0.7518428064204622,0.7521636706357883,0.740137696484473,0.7005533824119119
GLOBAL,ITA,20,OECD,2000102743,102743,2000,0.36078778705846193,0.4302031862598887,0.5271956703482419,0.1226211885810374
GLOBAL,DEU,45,OECD,2000225237,225237,2000,0.7397795413370115,0.7633651068982285,0.6609042555423977,0.6528641464549707
GLOBAL,AUT,20,OECD,2000101838,101838,2000,0.5896521643776094,1.503792142236075,0.30534483902715986,0.008932569700007558
GLOBAL,ITA,25,OECD,2000201535,201535,2000,0.7125365771828372,0.7708660700147345,0.478712444090687,0.3158584380888815
GLOBAL,DEU,25,OECD,2000101059,101059,2000,0.4807933449660353,0.5181789135413428,0.3720062851328778,0.25792599276254774
GLOBAL,GBR,45,OECD,2000227076,227076,2000,0.7657519701436418,0.8194619071158837,0.8427330761275437,0.8230878607000359
GLOBAL,GBR,20,OECD,2000063477,063477,2000,0.01121247437824253,1.100963600078607,0.30765012978179856,0.23136639949665622
GLOBAL,BEL,45,OECD,2000101922,101922,2000,0.3644747330204182,0.766899101988384,0.41946356624796777,0.36271645751733644
GLOBAL,ESP,30,OECD,2000207759,207759,2000,0.10526174581827892,0.03458870849871688,0.579698357295586,0.09534451744980159
GLOBAL,DEU,15,OECD,2000017436,017436,2000,0.30819339502528714,0.18665318980974205,0.16911935041608592,0.21055336976598843
GLOBAL,DEU,45,OECD,2000228580,228580,2000,0.6483404416157618,0.4724098997652479,0.7059299398195898,0.5599703090859774
GLOBAL,DEU,35,OECD,2000100080,100080,2000,0.26421663574027093,0.5028181162770045,0.5917738892844719,0.4789893988136666
GLOBAL,DEU,25,OECD,2000100022,100022,2000,0.031636657426053656,0.5640853604156524,0.09844658890203835,0.27972803338524094
GLOBAL,DEU,35,OECD,2000101076,101076,2000,0.03536898633703171,0.2757814041502504,0.1802026512000388,0.2543064023060325
GLOBAL,GBR,20,OECD,2000100376,100376,2000,0.20943795742025145,0.2555644398202227,0.07852137587842438,0.017590417482753397
GLOBAL,ITA,25,OECD,2000015406,015406,2000,0.436757423957049,0.425170601695641,0.339784090423773,0.21952410557454674
GLOBAL,GBR,20,OECD,2000100432,100432,2000,0.38748694269812045,0.45255313832083577,0.006969900722231032,0.06733586122874738
